Campaign ID,Campaign,Audience segment,Cost,Impr.,Clicks
22994092464,McDonald's Snack Menu Sep - Oct 2025 (YT) - Bumper,McDonald's Chicken 30 Days,0.2,313.0,1.0
22994092464,McDonald's Snack Menu Sep - Oct 2025 (YT) - Bumper,McDonald's Chicken 30 Days - GAds,0.25,385.0,1.0
23000376953,McDonald's Snack Menu Sep - Oct 2025 (YT) - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,1.58,300.0,1.0
23000376953,McDonald's Snack Menu Sep - Oct 2025 (YT) - CPV,Fast Food Restaurants,4.26,888.0,1.0
23027683820,Nissan QQ Sep - Oct 2025 (DN) - CPM,Vehicles & Transportation › Car Enthusiasts › Truck & SUV Enthusiasts,2.43,10796.0,1.0
23038260706,McDonald's MOP Sep - Nov 2025 (YT) - CPV,Burger Restaurants,1.19,355.0,1.0
23038260706,McDonald's MOP Sep - Nov 2025 (YT) - CPV,Fast Food Restaurants,3.08,1020.0,1.0
23038275832,McDonald's MOP Sep - Nov 2025 (YT) - Bumper,Food & Dining › Fast Food Cravers,2.55,2318.0,1.0
23038275832,McDonald's MOP Sep - Nov 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,3.94,2560.0,1.0
23038275832,McDonald's MOP Sep - Nov 2025 (YT) - Bumper,Food & Drink › Food › Fast Food Meals,1.62,1021.0,1.0
23038275832,McDonald's MOP Sep - Nov 2025 (YT) - Bumper,Mc Donalds Food and Promotions,2.29,2047.0,1.0
23038275832,McDonald's MOP Sep - Nov 2025 (YT) - Bumper,Food & Drink › Food & Grocery Delivery › Restaurant Delivery & Takeaway,2.85,1896.0,1.0
23051177880,McDonald's Breakfast AO Sep - Dec 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,1.19,830.0,1.0
23051723493,McDonald's McDelivery AO Sep - Oct 2025 (YT) - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,1.34,204.0,1.0
23051723493,McDonald's McDelivery AO Sep - Oct 2025 (YT) - CPV,restaurants mcdonald's,1.19,225.0,1.0
23057401193,McDonald's Coffee AO Sep - Dec 2025 (YT) - CPV,Coffee Drinks,0.64,149.0,1.0
23057401193,McDonald's Coffee AO Sep - Dec 2025 (YT) - CPV,Coffee Shops,0.75,189.0,1.0
23061820288,McDonald's McDelivery AO Sep - Oct 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out,3.08,2656.0,1.0
23061820288,McDonald's McDelivery AO Sep - Oct 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,2.02,1295.0,1.0
23061820288,McDonald's McDelivery AO Sep - Oct 2025 (YT) - Bumper,Food & Drink › Food › Fast Food Meals,1.09,649.0,1.0
