Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
T03_001444_HR_EBD_BodyVariousProducts(ECN)_AW_Jan25_Feb25_fullf_OMD_DigGR_na;22186470409;2.2;170,143
Ahmad Tea Jan - Feb 2025 (YT) - Reach Mix 2.0;22135917811;3;1,213,699
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;22643474570;;
T03_001621_HR_EFC_EpigenticSerum_AW_Mar25_Apr25_fullf_OMD_DigGR_na;22309957333;2.4;170,799
202411//Crossover Brands L//HCB SUS ISWU Original B 24//HCB SUS ISWU Original B 24//ItStartsWithUs;21937640318;;
Porsche Pia Oct 2025 (PMAX) - CPA;23086685202;;
greška;22852216989;;
T03_001621_HR_EFC_EpigenticSerum_AW_Sep24_Nov24_fullf_OMD_na;21774869497;;
Porsche Pia Aug 2025 (DN) - CPC;22858066253;;
Porsche Pia Oct 2025 (DN) - CPC;23091799676;;
T03_000041_HR_EFC_AntiPigmentFace_AW_Oct24_Dec24_fullf_OMD_na;21849109651;;
Porsche Cayenne Black Winter Edition Jan 2026 (PMAX) - CPA;23455088865;;
Bumper Template;21937640384;;
Porsche Cayenne Black Winter Edition Jan 2026 (DGEN) - CPC;23460318689;;
T03_001621_HR_EFC_EpigenticSerum_CO_Sep24_Nov24_fullf_OMD_na;21771485748;;
Ahmad Tea Jan - Feb 2025 (YT) - VVC;22132274384;3.4;482,777
Porsche Pia Feb 2026 (DGEN) - CPC;23527599289;;
Porsche Pia Nov 2025 (PMAX) - CPA;23218775703;;
Porsche Macan SUV EL - Apr - Jul 2025 - (GDN) - CPC;22439026956;;
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;;
Porsche Pia Nov 2025 (DG) - CPC;23218773990;;
Porsche Pia Oct 2025 (DG) - CPC;23086499715;;
Ricola Feel Bonbon Jan - Feb 2025 (YT) - CPM;23480980465;;
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper #2;22643491667;;
Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;23242582539;;
Porsche Macan SUV EL - Apr - Jul 2025 - Reach Mix;22435818886;;
Porsche Pia Feb 2026 (PMAX) - CPA;23518036296;;
T03_000041_HR_EFC_AntiPigmentFace_AW_Oct24_Dec24_fullf_OMD_na #2;21849308833;;
T03_001621_HR_EFC_EpigenticSerum_CO_Mar25_Apr25_fullf_OMD_DigGR_na;22310055769;1.6;255,804
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;22637317905;;
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;;
Porsche Pia Sept 2025 (DG) - CPC;22978900537;;
Ahmad Tea Nov 2025 (YT) - VVC;23247653498;;
Porsche Pia Feb 2026 (GDN) - CPC;23527411423;;
Ahmad Tea Nov - Dec 2024 (YT) - Reach Mix 2.0;21883324482;;
Koestlin Paris - Nov - Dec 2025 - (GDN) - CPM;23277766543;;
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;22643359196;;
Ahmad Tea Nov - Dec 2024 (YT) - VVC;21883324503;;
Porsche Cayenne Black Winter Edition Jan 2026 (GDN) - CPC;23460256304;;
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;;
Loacker Apr - May 2025 (YT) - VVC - CPV;22460487259;;
PMAX - Škoda postprodaja - Zima - 2024;21808803584;;
Loacker Jan - Feb 2025 (YT) - VVC - CPV;22162135107;2.7;275,076
PMAX - VW postprodaja -  Gume - Zima - 2024;21841648532;;
PMAX - Audi postprodaja - Zima - 2024;21824150878;;
Bison Bolton - October 2025 (YT) - Bumper;23077707730;;
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;;
PMAX - Seat postprodaja - Gume - Zima - 2024;21867968104;;
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;;
Mediteranski Festival Knjige Okolica Sep - Oct 2024 (DN) - CPM;21719032724;;
Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;23012659355;;
Performance Max-2;21812568682;;
PMAX - Audi postprodaja - Gume - Zima - 2024;21867578608;;
Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;22162051863;3.3;871,566
PMAX - Škoda postprodaja - Gume - Zima - 2024;21841447379;;
Bison Poly Max September - October 2024 (YT) - Bumper - CPM;21717095233;;
Bison AirMax November 2025 (DN) - CPM;23224382309;;
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;;
PMAX - VW postprodaja - Zima - 2024;21802423083;;
Mediteranski Festival Knjige Split Sep - Oct 2024 (DN) - CPM;21719032232;;
Loacker Sep - Nov 2024 (YT) - Reach Mix 2.0 - CPM;21758664949;;
PMAX - Seat postprodaja - Zima - 2024;21808731008;;
Bison Bolton - October 2025 (DN) - CPM;23073658040;;
Loacker Apr - May 2025 (YT) - Reach Mix 2.0 - CPM;22457057426;;
Loacker Sep - Nov 2024 (YT) - VVC - CPV;21758681491;;
Loacker Sep - Oct 2025 (YT) - VVC - CPV;23016634492;;
Bison AirMax November 2025 (YT) - CPM;23219213253;;
Porsche Moon Oct - Dec 2025 - (DN) - CPC;23090115996;;
YT - Audi Facelift A3 - Allstreet - Reach - 2024;21370708250;;
